cod|per|tipo|disc|creds|ch|reqs
1305219|1|obr|DIREITO E CIDADANIA|4|60|
1411311|1|obr|FUND DE MATEMATICA P/ C.DA COMPUTAÇAO|4|60|
1411174|1|obr|INTRODUÇAO A COMPUTAÇAO|4|60|
1411180|1|obr|LABORATORIO DE PROGRAMAÇAO I|4|60|1411167 
1411167|1|obr|PROGRAMAÇAO I|4|60|1411180
1109126|2|obr|CALCULO DIFERENCIAL E INTEGRAL I|4|60|1411311 
1303021|2|obr|ECONOMIA|4|60|
1411312|2|obr|FUND DE MATEMATICA P/ C.DA COMPUTAÇAO II|4|60|1411311
1411181|2|obr|LABORATORIO DE PROGRAMAÇAO II|4|60|1411167 1411180 
1411168|2|obr|PROGRAMAÇAO II|4|60|1411167 1411180
1109049|3|obr|ALGEBRA LINEAR I|4|60|1411312 
1109131|3|obr|CALCULO DIFERENCIAL E INTEGRAL II|4|60|1109126
1411172|3|obr|ESTRUTURAS DE DADOS E ALGORITMOS|4|60|1411168 1411181
1411179|3|obr|LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS|4|60|1411168 1411181
1411307|3|obr|LOGICA PARA COMPUTAÇAO|4|60|1411312
1411193|4|obr|BANCO DE DADOS I|4|60|1411172
1114129|4|obr|INTRODUCAO A PROBABILIDADE|4|60|1109131
1411310|4|obr|ORGANIZAÇAO E ARQUIT. DE COMPUTADORES|4|60|1411174
1411309|4|obr|PARADIGMAS DE LINGUAGEM DE PROGRAMAÇAO|4|60|1411168 1411181
1411171|4|obr|TEORIA DA COMPUTAÇAO|4|60|1411307
1411304|4|obr|TEORIA DOS GRAFOS|4|60|1411311 1411168 1411181
1411314|5|obr|ENGENHARIA DE SOFTWARE|4|60|1411168 1411181 
1114222|5|obr|ESTATISTICA APLICADA|4|60|1114129 
1411316|5|obr|INTELIGENCIA ARTIFICIAL|4|60|1411171 
1411308|5|obr|PROJETO DE SOFTWARE|4|60|1411172 1411179 
1411190|5|obr|REDES DE COMPUTADORES|4|60|1411174 
1411192|5|obr|SISTEMAS OPERACIONAIS|4|60|1411310 
1411313|6|obr|ANALISE DE SISTEMAS|4|60|1411308 
1411187|6|obr|ANALISE E TECNICA DE ALGORITMOS|4|60|1411172 1411304
1411315|6|obr|PROGRAMAÇAO CONCORRENTE|4|60|1411192 
1411189|7|obr|COMPILADORES|4|60|1411309 1411171 
1411383|7|obr|METODOLOGIA CIENTIFICA|4|60|1114222 
1307169|8|obr|LINGUA PORTUGUESA|4|60|
1411185|8|obr|PROJETO EM COMPUTAÇAO I|4|60|1411314 1411313
1411348|9|obr|PROJETO EM COMPUTAÇAO II|4|60|1411185 
1411318|9|cmp|TRABALHO DE CONCLUSAO DE CURSO|4|60|1411383 1307169 
1411198|-|opt|ADM.DE SIST.GERENC.DE BANCO DE DADOS|4|60|1411193 
1411320|-|opt|ADMINISTRAÇAO DE SISTEMAS|4|60|1411190 1411192 
1411321|-|opt|ALGORITMOS AVANCADOS I|4|60|1411167 1411180 
1411322|-|opt|ALGORITMOS AVANCADOS II|4|60|1411167 1411180 
1411323|-|opt|ALGORITMOS AVANCADOS III|4|60|1411167 1411180 
1411324|-|opt|ALGORITMOS AVANCADOS IV|4|60|1411167 1411180 
1411325|-|opt|ARQUITETURA DE SOFTWARE|4|60|1411308
1411384|8|cmp|ATIVIDADES COMPLEMENTARES DE EXTENSAO|22|330|
1411382|9|cmp|ATIVIDADES COMPLEMENTARES FLEXIVEIS|8|120|
1411197|-|opt|AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS|4|60|1114129 
1411194|-|opt|BANCO DE DADOS Il|4|60|1411193 
1411364|-|opt|CIENCIA DE DADOS DESCRITIVA|4|60|1114222 
1411365|-|opt|CIENCIA DE DADOS PREDITIVA|4|60|1114222 
1411366|-|opt|COMPUTAÇAO E MUSICA|4|60|1411172 
